Menge;Bezeichnung;Typ;Bemerkungen;Bild;Link;X;Y
16;NPN-Transistor  BC517;BC517;Darlington;;;;
50;NPN-Transistor  BC546;BC546;Ersatztyp BC547;;;;
50;NPN-Transistor  BC547;BC547;Ersatztyp BC546;;;;
59;NPN-Transistor  BC550;BC550;;;;;
48;NPN-Transistor  BC639;BC639;;;;;
11;NPN-Transistor  BC879;BC879;;;;;
7;NPN-Transistor  BF759;BF759;;;;;
7;NPN-Transistor  BSX46;BSX46;;;;;
2;Nullspannungsschalt.  U106BS;U106BS;;;;;
8;OP-rauscharm  NE5534;NE5534;;;;;
22;Optokoppler  CNY17;CNY17;;;;;
9;Optokoppler  TIL111;TIL111;;;;;
4;Optpkoppler  CNY22;CNY22;;;;;
3;Oszillator  MM5369;MM5369;;;;;
2;Phasenanschnitts..  TCA 785;TCA 785;Phasenanschnittsteuerung;;;;
11;Piezo-Schallwandler;..;ohne Elektronik;;;;
20;Platine Lˆtpunktraster  RE 200HP;RE 200 HP;Lˆtpunktraster;;;;
33;Platine Lˆtpunktraster  RE 525 HP;RE 525 HP;Lˆtpunktraster mit Steckeranschluﬂ;;;;
30;Platine Lˆtstreifen  RE 521 HP;RE 521 HP;Lˆtstreifenraster mit Steckeranschluﬂ;;;;
30;Platine Lˆtstreifenraster RE 520 HP;RE 520 HP;Lˆtstreifenraster;;;;
0;Platinenhalter  2.300.041.9;2.300.041.9;Schublade2;;;;
5;PNP-Transistor  AC187K;AC187K;;;;;
5;PNP-Transistor  AC188K;AC188K;;;;;
11;PNP-Transistor  BC161-10;BC161-10;;;;;
23;PNP-Transistor  BC327;BC327;;;;;
19;PNP-Transistor  BC516;BC516;Darlington;;;;
15;PNP-Transistor  BC556;BC556;;;;;
24;PNP-Transistor  BC560;BC560;;;;;
3;PNP-Transistor  BC640;BC640;;;;;
13;PNP-Transistor  BC880;BC880;;;;;
4;PNP-Transistor  BF423;BF423;;;;;
2;Poti  100K;100K;linear/4mm Achse;;;;
6;Poti  100R;100R;linear/4mm Achse;;;;
2;Poti  10K;10K;linear;;;;
8;Poti  10K;10K;linear/4mm Achse;;;;
13;Poti  1K;1K;linear/4mm Achse;;;;
6;Poti  1M;1M;linear/4mm Achse;;;;
12;Poti  2.2K;2.2K;linear/4mm Achse;;;;
5;Poti  22K;22K;linear/4mm Achse;;;;
15;Poti  4.7K;4.7K;linear/6mm Achse ,liegen auch im anderen Schrank;;;;
1;Poti  500K;500K;6mm Achse;;;;
7;Poti  5K;5K;linear/4mm Achse;;;;
8;Poti  5K;5K;linear/6mm Achse;;;;
4;Poti m.Schalter  1.2M;1.2M;;;;;
1;prog.Com. Interface  8251;8251;E/A;;;;
1;prog.E/A Baustein  8255;8255;;;;;
0;Pruefspitze rot  PP130;PP130;Schublade;;;;
1;Pruefspitze schwarz  PP130;PP130;;;;;
6;Punktmatrixanz.  TIL 305;TIL 305;;;;;
1;Quarz  2.458MHz;2.458MHz;;;;;
6;Quarz  3.5MHz;3.5MHz;;;;;
6;Quarz  3MHz;3MHz;;;;;
5;Quarz  4.19MHz;4.19MHz;;;;;
8;Quarz  4MHz;4MHz;;;;;
0;Reedschalter  2825;2825;;;;;
3;Relais  RE 030 005;RE 030 005;5V, Print;;;;
3;Relais  RE 030 012;RE 030 012;12 V, Print;;;;
0;Relaisfassung  V23154 Z1002;V23154 Z1002;Platinenenanschlu·;;;;
8;Relaisfassung  V23154 Z1006;V23154 Z1006;Lîtanschlu·;;;;
0;Schaltlitze blau  LiY 0.14;LiY 0.14;;;;;
0;Schaltlitze blau  LiY 0.25;LiY 0.25;;;;;
0;Schaltlitze blau  LiY 0.5;LiY 0.5;;;;;
0;Schaltlitze braun  LiY 0.14;LiY 0.14;;;;;
0;Schaltlitze braun  LiY 0.25;LiY 0.25;;;;;
0;Schaltlitze braun  LiY 0.5;LiY 0.5;;;;;
0;Schaltlitze rot  LiY 0.14;LiY 0.14;;;;;
0;Schaltlitze rot  LiY 0.25;LiY 0.25;;;;;
0;Schaltlitze rot  LiY 0.5;LiY 0.5;;;;;
0;Schaltlitze schwarz  LiY 0.14;LiY 0.14;;;;;
0;Schaltlitze schwarz  LiY 0.25;LiY 0.25;;;;;
0;Schaltlitze schwarz  LiY 0.5;LiY 0.5;;;;;
4;Schiebeschalter  2 pol. Umsch.;MFS201N;;;;;
1;Schrumpfschlauch  HFT-A 16;HFT-A 16;;;;;
2;Schrumpfschlauch  HFT-A 32;HFT-A 32;;;;;
8;Schwamm  5224 1999;..;Lîtstation;;;;
3;Sicherung 15A;OKLKO15.VX832;Sicherung fÅr Fluke-Multimeter (Ausgabe);;;;
4;Sicherung 1A  830828;830828;fÅr Fluke-Multimeter (Ausgabe);;;;
2;Sicherungsclips  .;..;;;;;
6;Sicherungshalter (Print1) 19763;19763;Passend zu 254-0323;;;;
3;Sicherungshalter (Print2) 19652;19652;Passend zu 254-0333;;;;
13;Sicherungshalter (Print3) 19596;19596;Passend zu 2;;;;
11;Sicherungshalter (Typ1)  19601;19601;fÅr NetzgerÑt,Passend zu 254-0216;;;;
0;Sicherungshalter (Typ2)  19466;19466;Passend zu 254-0379;;;;
0;Sicherungskappe (Print1) 19764;19764;Passend zu 253-0303;;;;
4;Sicherungskappe (Print2) 19653;19653;;;;;
11;Sicherungskappe (Print3) 19583;19583;;;;;
15;Sicherungskappe (Typ1)  19602 S;19602 S;f¸År Netzger‰t;;;;
8;Sicherungskappe (Typ2)  19585 III;19585 III;Passend zu 253-0370;;;;
7;Signalleuchte  24V/rot;24V/rot;;;;;
1;Silikonleitung  SIHF 2*0.75;SIHF 2*0.75;Schrank5;;;;
0;Silikonleitung  SIHF-J 3*0.75;SIHF-J 3*0.75;Schrank5;;;;
7;Spannungsregler neg  7905;7905;;;;;
7;Spannungsregler neg  7905C;7905C;;;;;
26;Spannungsregler neg  7908C;7908C;;;;;
